canonical_vi,canonical_en,parent_vi,parent_en,keywords
Công nghệ thông tin & Phần mềm,IT & Software,Công nghệ,Technology,it|cong nghe thong tin|cntt|phan mem|software|it services|it consulting|software products|web services|software development|it hardware|computing|phan cung|mang|information technology|information services|internet
Dữ liệu & Phân tích,Data & Analytics,Công nghệ,Technology,data science|khoa hoc du lieu|data analytics|phan tich du lieu|business analytics|business intelligence|tri tue kinh doanh|\bbi\b|analytics|analysis|data engineering|ky thuat du lieu|machine learning|hoc may|artificial intelligence|tri tue nhan tao|\bai\b|big data|data mining|data visualization|truc quan hoa du lieu|data architect|data quality|data warehouse|etl|dbms|database|sql|thong ke|statistics
An ninh mạng & Bảo mật,Cybersecurity,Công nghệ,Technology,cybersecurity|an ninh mang|bao mat|information security|network security|computer security|penetration testing|vulnerability|firewall|intrusion detection|threat intelligence|security operations|incident response|ciso|identity management|access control|authentication|encryption|cryptography|zero trust
Tài chính / Ngân hàng / Bảo hiểm,Finance / Banking / Insurance,Tài chính,Finance,ngan hang|tai chinh|financial services|banking|insurance|bao hiem|chung khoan|securities|dau tu|investment|fintech|risk management|actuarial|underwriting|claims|policy|coverage|liability
Kinh doanh / Bán hàng,Sales & Business Development,Kinh doanh,Business,kinh doanh|ban hang|sales|business development|account executive|account manager|phat trien thi truong|telesales|kinh doanh quoc te|dai ly|phan phoi|sales engineer|ky su kinh doanh|merchandiser|international trade|trade and development
Marketing & Truyền thông,Marketing & Communications,Kinh doanh,Business,marketing|truyen thong|quang cao|digital marketing|branding|advertising|\bpr\b|promotion|content|copywriter|social media|event|to chuc su kien|bao chi|media|public relations|market research|publishing|xuat ban
Thương mại điện tử & Bán lẻ,E-commerce & Retail,Kinh doanh,Business,thuong mai dien tu|e-commerce|ban le|ban si|retail|ecommerce|shopping|online marketplace|digital marketplace|shopee|lazada|tiki|tiktok shop|wholesale|marketplace
Sản xuất & Công nghiệp,Manufacturing & Industrial,Công nghiệp,Industry,san xuat|manufacturing|production|factory|industrial|cong nghiep|tu dong hoa|det may|may mac|giay dep|da giay|in an|packaging|bao bi|hoa chat|hoa sinh|chemical|nhua|cao su|plastic|rubber
Kỹ thuật / Cơ khí / Điện & Điện tử,Engineering / Mechanics / Electronics,Công nghiệp,Industry,co khi|may moc|thiet bi cong nghiep|ky thuat|engineering|mechanical|electrical|electronics|dien tu|dien lanh|mechatronics|co dien|m&e|vba|cad|cam|cae
Bất động sản & Xây dựng,Real Estate & Construction,Công nghiệp,Industry,bat dong san|real estate|property|housing|construction|xay dung|kien truc|architect|noi that|interior design|cho thue|dia oc
Vận tải & Logistics,Transportation & Logistics,Công nghiệp,Industry,van tai|transportation|logistics|hau can|giao nhan|warehouse|kho van|shipping|supply chain|chuoi cung ung|nhap khau|xuat khau|import|export|customs|thong quan|freight|maritime|hang hai
Y tế / Dược phẩm / Chăm sóc sức khỏe,Healthcare & Pharmaceutical,Y tế,Healthcare,y te|suc khoe|healthcare|medical|pharmaceutical|hospital|health|medicine|thiet bi y te|duoc pham|\bbio\b|biotechnology|biopharma|clinical research|life sciences|molecular biology|genetics|y duoc|bac si|dieu duong
Năng lượng / Môi trường / Tiện ích,Energy / Environment / Utilities,Công nghiệp,Industry,\bdien\b|nang luong|energy|\boil\b|\bgas\b|dau khi|khai khoang|renewable|solar|wind|power|san xuat va phan phoi dien|khi dot|nuoc|utilities|environmental|moi truong|waste management|recycling|sustainability|geology|dia chat|materials|mining
Hàng tiêu dùng (FMCG),Consumer Goods (FMCG),Kinh doanh,Business,\bfood\b|hang tieu dung|fmcg|consumer goods|thuc pham|do uong|hang gia dung|my pham|trang suc|thoi trang|dan nhan|apparel|fashion|sporting goods
Giáo dục & Đào tạo,Education & Training,Dịch vụ,Services,giao duc|dao tao|education|training|academic|university|college|giang day|teaching|tu van du hoc|library|thu vien|nghien cuu|research|e-learning
Khách sạn & Du lịch,Hospitality & Tourism,Dịch vụ,Services,dich vu luu tru|nha hang|khach san|du lich|hospitality|tourism|restaurant|hotel|f&b|am thuc|an uong|tourist|travel|chef
Ô tô & Xe cộ,Automotive,Công nghiệp,Industry,\bo to\b|automotive|\bcar\b|vehicle|xe may|phu tung
Viễn thông,Telecommunications,Công nghệ,Technology,vien thong|telecommunications|telecom|networking|mobile|wireless|\bisp\b
Kế toán & Kiểm toán,Accounting & Auditing,Tài chính,Finance,ke toan|kiem toan|accounting|auditing|bookkeeping|\bthue\b|\btax\b
Nhân sự,Human Resources,Dịch vụ,Services,nhan su|human resources|\bhr\b|recruitment|tuyen dung|headhunt|luong thuong|payroll|benefit|nhan luc
Hành chính & Văn phòng,Administration & Office,Dịch vụ,Services,hanh chinh|van phong|thu ky|tro ly|administration|office|clerical|le tan|receptionist|\bpa\b|\bea\b|bi thu
Quản lý / Điều hành,Management & Executive,Dịch vụ,Services,quan ly dieu hanh|\bceo\b|director|executive|manager|leader|truong phong|pho phong|quan ly|management|trinh duoc vien
Tư vấn & Chăm sóc khách hàng,Consulting & Customer Service,Dịch vụ,Services,tu van|cham soc khach hang|consulting|customer service|support|\bservice\b|help desk|advisory|consultant|call center|professional services
Nghệ thuật & Thiết kế,"Arts, Design & Entertainment",Dịch vụ,Services,\bgame\b|nghe thuat|thiet ke|giai tri|arts|design|entertainment|graphic|creative|sang tao|am nhac|music|phim|movie|video|photography|nhiep anh
Dịch vụ pháp lý,Legal Services,Dịch vụ,Services,\blegal\b|\blaw\b|\bluat\b|lawyer|attorney|phap ly|phap che|court|judicial|solicitor|phap luat
Ngôn ngữ / Biên phiên dịch,Languages / Translation,Dịch vụ,Services,ngon ngu|bien phien dich|translator|interpreter|translation|interpretation|tieng anh|tieng nhat|tieng trung|tieng han|english|japanese|chinese|korean|linguistics|bien dich|phien dich
Nông nghiệp / Lâm nghiệp / Thủy sản,Agriculture / Forestry / Fishery,Công nghiệp,Industry,nong nghiep|lam nghiep|thuy san|agriculture|forestry|farming|agritech|nuoi trong|hai san|fishery|animal husbandry|veterinary|thu y|thuy loi|irrigation
Hàng không & Quốc phòng,Aerospace & Defense,Công nghiệp,Industry,aerospace|aviation|defense|aircraft|hang khong|\bbay\b|quan su|military|pilot|phi cong
Làm đẹp & Chăm sóc cá nhân,Beauty & Personal Care,Dịch vụ,Services,\bspa\b|lam dep|beauty|tham my|salon|fitness|\bgym\b|the hinh|personal care
Lao động phổ thông / Bảo vệ,Unskilled Workers & Security,Dịch vụ,Services,lao dong pho thong|unskilled|manual labor|cong nhan|worker|security|bao ve|ve si|giup viec|domestic helper|cleaning|tap vu
Chính phủ & Tổ chức phi lợi nhuận,Government & NGO,Khu vực công,Public Sector,chinh phu|\bngo\b|government|public sector|administrative|phi chinh phu|to chuc quoc te|non-profit|public safety|professional organizations|international affairs
AI & Dịch vụ dữ liệu,AI & Data Services,Công nghệ,Technology,ai services|data services|data consulting|data platform|data solution|giai phap du lieu|tu van du lieu|machine learning services|analytics services|data outsourcing
Điện toán đám mây & SaaS,Cloud Computing & SaaS,Công nghệ,Technology,cloud computing|cloud services|saas|software as a service|cloud platform|cloud native|managed services|platform as a service|paas
Nghiên cứu thị trường & Consumer Insights,Market Research & Consumer Insights,Kinh doanh,Business,market research|consumer insights|customer insights|survey|khao sat thi truong|nghien cuu thi truong|panel data|brand tracking
Chuyển đổi số & Tư vấn công nghệ,Digital Transformation & Technology Consulting,Công nghệ,Technology,digital transformation|chuyen doi so|technology consulting|it consulting|data transformation|business transformation|erp consulting|process automation
Vi mạch & Bán dẫn,Semiconductor & Electronics,Công nghiệp,Industry,semiconductor|ban dan|chip design|ic design|integrated circuit|vi mach|eda|fabless|electronics manufacturing
Gaming & Esports,Gaming & Esports,Công nghệ,Technology,gaming|esports|game development|game studio|tro choi|phat trien game|game publisher|game operator|mobile gaming|pc gaming|console gaming
Media & Entertainment,Media & Entertainment,Dịch vụ,Services,media|entertainment|truyen thong|giai tri|streaming|content creation|video production|film|movie|music|podcast|broadcasting|television|tv|radio|animation|vfx|visual effects
Sports & Fitness,Sports & Fitness,Dịch vụ,Services,sports|fitness|the thao|the duc|gym|yoga|wellness|athletic|sporting goods|fitness center|sports club|personal training|fitness equipment
Mining & Metals,Mining & Metals,Công nghiệp,Industry,mining|metals|kim loai|khai khoang|quang|iron ore|coal|bauxite|copper|gold|silver|nickel|tin|steel|aluminum|metal processing
Textile & Garment,Textile & Garment,Công nghiệp,Industry,textile|garment|det may|may mac|vai|fabric|clothing|apparel manufacturing|fashion manufacturing|garment factory|textile mill
Paper & Packaging,Paper & Packaging,Công nghiệp,Industry,paper|packaging|giay|bao bi|carton|cardboard|paper mill|packaging materials|corrugated|paper products|printing paper
Chemical & Petrochemical,Chemical & Petrochemical,Công nghiệp,Industry,chemical|petrochemical|hoa chat|hoa dau|plastic|polymer|resin|fertilizer|phan bon|paint|son|coating|adhesive|keo
Food & Beverage Processing,Food & Beverage Processing,Công nghiệp,Industry,food processing|beverage|che bien thuc pham|do uong|dairy|sua|meat processing|che bien thit|seafood processing|canned food|dong hop|juice|soft drink
Event Management,Event Management,Dịch vụ,Services,event management|to chuc su kien|event planning|conference|wedding planner|exhibition|trade show|event organizer|MICE
Publishing & Printing,Publishing & Printing,Dịch vụ,Services,publishing|printing|xuat ban|in an|book publisher|magazine|newspaper|digital publishing|e-book|print media|offset printing
PropTech,PropTech,Công nghệ,Technology,proptech|real estate tech|bat dong san cong nghe|property technology|realtech|property management software|real estate platform
InsurTech,InsurTech,Công nghệ,Technology,insurtech|bao hiem cong nghe|insurance technology|digital insurance|claims automation|insurtech startup|policy management
LegalTech,LegalTech,Công nghệ,Technology,legaltech|luat cong nghe|legal technology|contract management|legal automation|compliance tech|law firm software|legal document automation
HR Tech,HR Tech,Công nghệ,Technology,hr tech|human resource technology|recruitment tech|talent management|hrms|human resource management system|payroll software|employee engagement platform
EdTech,EdTech,Công nghệ,Technology,edtech|giao duc cong nghe|education technology|e-learning platform|online learning|learning management system|lms|educational software|digital classroom
HealthTech,HealthTech,Công nghệ,Technology,healthtech|y te cong nghe|health technology|digital health|telemedicine|telehealth|health app|medical device software|health information system|his
FoodTech,FoodTech,Công nghệ,Technology,foodtech|food tech|thuc pham cong nghe|food delivery|food service tech|restaurant tech|cloud kitchen|meal kit|food innovation|alternative protein
AgriTech,AgriTech,Công nghệ,Technology,agritech|nong nghiep cong nghe|agricultural technology|smart farming|precision agriculture|farm tech|agricultural drone|crop monitoring|livestock technology
ClimateTech & GreenTech,ClimateTech & GreenTech,Công nghệ,Technology,climate tech|green tech|clean tech|carbon credit|carbon footprint|net zero|sustainability tech|renewable tech|energy storage|carbon capture
SpaceTech,SpaceTech,Công nghệ,Technology,space tech|satellite|ve tinh|aerospace tech|space data|earth observation|remote sensing|space exploration|satellite communication|gps
Maritime & Shipping,Maritime & Shipping,Công nghiệp,Industry,maritime|shipping|hang hai|tau bien|port|cargo|freight forwarding|ship owner|ship operator|container|bulk carrier|tanker
Aviation,Aviation,Công nghiệp,Industry,aviation|airline|hang khong|san bay|airport|aircraft|airplane|flight|air cargo|air transport|aviation services|MRO|maintenance repair overhaul
Public Sector & Government Services,Public Sector & Government Services,Khu vực công,Public Sector,public sector|government services|chinh phu|dich vu cong|administrative|public administration|civil service|government agency|state owned|public utility
Testing & Certification,Testing & Certification,Dịch vụ,Services,testing|certification|kiem dinh|chung nhan|quality assurance|qa|qc|inspection|compliance|accreditation|standards|iso|testing laboratory|certification body
Waste Management & Recycling,Waste Management & Recycling,Công nghiệp,Industry,waste management|recycling|quan ly rac|tai che|waste treatment|waste disposal|recycling plant|waste to energy|circular economy|hazardous waste
Water & Wastewater,Water & Wastewater,Công nghiệp,Industry,water|wastewater|nuoc|nuoc thai|water treatment|water supply|water distribution|sewage|water purification|desalination|water utility
Oil & Gas,Oil & Gas,Công nghiệp,Industry,oil|gas|dau khi|petroleum|natural gas|upstream|midstream|downstream|oil refinery|gas processing|lng|cng|oil exploration|drilling
Renewable Energy,Renewable Energy,Công nghiệp,Industry,renewable energy|nang luong tai tao|solar|wind|hydro|biomass|geothermal|solar panel|wind turbine|clean energy|green energy|sustainable energy
Construction Materials,Construction Materials,Công nghiệp,Industry,construction materials|vat lieu xay dung|cement|xi mang|concrete|betong|brick|gach|tile|gach op lat|steel structure|building materials
Interior Design & Furniture,Interior Design & Furniture,Dịch vụ,Services,interior design|furniture|thiet ke noi that|noi that|furniture design|home decor|office furniture|custom furniture|interior decoration|furnishing
Luxury Goods & Jewelry,Luxury Goods & Jewelry,Kinh doanh,Business,luxury|jewelry|hang xa xi|trang suc|luxury goods|luxury brand|high-end|premium|watch|dong ho|diamond|kim cuong|gold|vang|precious stones
Pet Care & Veterinary,Pet Care & Veterinary,Dịch vụ,Services,pet care|veterinary|cham soc thu cung|thu y|pet|dog|cat|pet shop|pet grooming|pet food|veterinary clinic|animal hospital|pet services
Childcare & Early Education,Childcare & Early Education,Dịch vụ,Services,childcare|early education|cham soc tre|giao duc som|daycare|preschool|kindergarten|nursery|child care center|early childhood|tre em|thieu nhi
Senior Care & Elderly Services,Senior Care & Elderly Services,Dịch vụ,Services,senior care|elderly|cham soc nguoi cao tuoi|dich vu nguoi gia|nursing home|assisted living|elder care|senior living|geriatric|aged care
Mental Health Services,Mental Health Services,Y tế,Healthcare,mental health|suc khoe tinh than|psychology|tam ly|psychiatry|tam than hoc|counseling|therapy|mental health clinic|psychological services|wellness center
Alternative Medicine,Alternative Medicine,Y tế,Healthcare,alternative medicine|y hoc thay the|traditional medicine|y hoc co truyen|homeopathy|naturopathy|acupuncture|cham cuu|herbal medicine|thuoc nam|thuoc bac|ayurveda