canonical_vi,region,keywords
Lào Cai,Miền Bắc,lao cai|laocai
Yên Bái,Miền Bắc,yen bai|yenbai
Điện Biên,Miền Bắc,dien bien|dienbien
Hòa Bình,Miền Bắc,hoa binh|hoabinh
Lai Châu,Miền Bắc,lai chau|laichau
Sơn La,Miền Bắc,son la|sonla
Hà Giang,Miền Bắc,ha giang|hagiang
Cao Bằng,Miền Bắc,cao bang|caobang
Bắc Kạn,Miền Bắc,bac kan|backan
Lạng Sơn,Miền Bắc,lang son|langson
Tuyên Quang,Miền Bắc,tuyen quang|tuyenquang
Thái Nguyên,Miền Bắc,thai nguyen|thainguyen
Phú Thọ,Miền Bắc,phu tho|phutho
Bắc Giang,Miền Bắc,bac giang|bacgiang
Quảng Ninh,Miền Bắc,quang ninh|quangninh
Bắc Ninh,Miền Bắc,bac ninh|bacninh
Hà Nam,Miền Bắc,ha nam|hanam
Hà Nội,Miền Bắc,ha noi|hanoi|tp hn|tphn|tp\.hn
Hải Dương,Miền Bắc,hai duong|haiduong
Hưng Yên,Miền Bắc,hung yen|hungyen
Hải Phòng,Miền Bắc,hai phong|haiphong|tp hp|tphp|tp\.hp
Nam Định,Miền Bắc,nam dinh|namdinh
Ninh Bình,Miền Bắc,ninh binh|ninhbinh
Thái Bình,Miền Bắc,thai binh|thaibinh
Vĩnh Phúc,Miền Bắc,vinh phuc|vinhphuc
Thanh Hóa,Miền Trung,thanh hoa|thanhhoa
Nghệ An,Miền Trung,nghe an|nghean
Hà Tĩnh,Miền Trung,ha tinh|hatinh
Quảng Bình,Miền Trung,quang binh|quangbinh
Quảng Trị,Miền Trung,quang tri|quangtri
Thừa Thiên Huế,Miền Trung,thua thien hue|hue
Đà Nẵng,Miền Trung,da nang|danang|tp dn|tpdn|tp\.dn
Quảng Nam,Miền Trung,quang nam|quangnam
Quảng Ngãi,Miền Trung,quang ngai|quangngai
Bình Định,Miền Trung,binh dinh|bindinh
Phú Yên,Miền Trung,phu yen|phuyen
Khánh Hòa,Miền Trung,khanh hoa|khanhhoa
Ninh Thuận,Miền Trung,ninh thuan|ninhthuan
Bình Thuận,Miền Trung,binh thuan|binhthuan
Kon Tum,Miền Trung,kon tum|kontum
Gia Lai,Miền Trung,gia lai|gialai
Đắk Lắk,Miền Trung,dak lak|daklak
Đắk Nông,Miền Trung,dak nong|daknong
Lâm Đồng,Miền Trung,lam dong|lamdong
TP. Hồ Chí Minh,Miền Nam,ho chi minh|hcm|sai gon|saigon|tphcm|tp\.hcm|hochiminh
Bình Phước,Miền Nam,binh phuoc|binhphuoc
Bình Dương,Miền Nam,binh duong|binhduong
Đồng Nai,Miền Nam,dong nai|dongnai
Tây Ninh,Miền Nam,tay ninh|tayninh
Bà Rịa - Vũng Tàu,Miền Nam,ba ria|vung tau|brvt|br\-vt
Long An,Miền Nam,long an|longan
Tiền Giang,Miền Nam,tien giang|tiengiang
Bến Tre,Miền Nam,ben tre|bentre
Vĩnh Long,Miền Nam,vinh long|vinhlong
Trà Vinh,Miền Nam,tra vinh|travinh
Đồng Tháp,Miền Nam,dong thap|dongthap
An Giang,Miền Nam,an giang|angiang
Cần Thơ,Miền Nam,can tho|cantho|tp ct|tpct|tp\.ct
Kiên Giang,Miền Nam,kien giang|kiengiang
Hậu Giang,Miền Nam,hau giang|haugiang
Sóc Trăng,Miền Nam,soc trang|socrang
Bạc Liêu,Miền Nam,bac lieu|baclieu
Cà Mau,Miền Nam,ca mau|camau